host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,Number of amenities,guests_included,price_per_extra_person,minimum_nights,number_of_reviews,number_days_btw_first_last_review,review_scores_rating,cancellation_policy
0,0,Jamaica Plain,42.31121058,-71.10200967,Apartment,Private room,2,1,1,1,Real Bed,14,1,0,1,5,51,80,flexible
1,1,Jamaica Plain,42.31874258,-71.11599746,Apartment,Private room,4,1,1,1,Real Bed,16,1,50,1,13,643,95,strict
0,1,Jamaica Plain,42.3087358,-71.09977037,Condominium,Entire home/apt,5,1,2,2,Real Bed,16,2,15,4,8,401,95,strict
1,1,Jamaica Plain,42.31567995,-71.11520101,Apartment,Private room,2,1,1,1,Real Bed,16,1,15,2,131,809,98,moderate
1,1,Jamaica Plain,42.295723,-71.11942118,Apartment,Private room,2,1,1,1,Real Bed,17,2,25,1,150,699,97,flexible
0,0,Jamaica Plain,42.30687965,-71.11231784,Apartment,Shared room,2,1,1,1,Pull-out Sofa,16,1,0,1,5,139,96,flexible
0,1,Jamaica Plain,42.30653907,-71.11789286,Apartment,Entire home/apt,4,1,2,2,Real Bed,19,1,0,1,10,531,96,moderate
0,0,Jamaica Plain,42.30861526,-71.11488311,Apartment,Private room,2,2,1,1,Real Bed,20,1,0,14,1,0,100,strict
0,1,Jamaica Plain,42.29877632,-71.11159713,Apartment,Private room,2,1,1,1,Real Bed,15,0,0,3,6,58,100,moderate
1,1,Jamaica Plain,42.31796621,-71.11153464,Apartment,Entire home/apt,2,1,1,1,Real Bed,10,0,0,2,70,661,96,strict
0,1,Jamaica Plain,42.32489118,-71.11344013,Apartment,Shared room,1,1,1,1,Real Bed,10,1,0,1,0,0,,strict
1,1,Jamaica Plain,42.31590401,-71.11404803,Townhouse,Private room,2,1,1,1,Real Bed,21,1,0,2,25,328,98,strict
0,1,Jamaica Plain,42.31527369,-71.10846155,Apartment,Entire home/apt,4,1,1,4,Real Bed,21,3,30,2,59,382,99,moderate
0,1,Jamaica Plain,42.29554924,-71.11354969,Apartment,Private room,2,1,1,1,Real Bed,18,1,0,1,2,174,80,flexible
1,1,Jamaica Plain,42.32235541,-71.10672991,Townhouse,Private room,2,1.5,1,1,Real Bed,16,1,0,5,6,115,100,moderate
0,1,Jamaica Plain,42.30571166,-71.1056671,Apartment,Private room,2,1,1,1,Real Bed,10,1,0,1,1,0,100,flexible
0,1,Jamaica Plain,42.31762622,-71.10865424,Apartment,Entire home/apt,2,1,1,1,Real Bed,9,2,10,1,3,177,93,moderate
1,1,Jamaica Plain,42.29558695,-71.11941564,Apartment,Private room,2,1,1,1,Real Bed,17,2,25,1,169,706,98,flexible
0,1,Jamaica Plain,42.29812412,-71.11413549,Apartment,Private room,2,1,1,1,Real Bed,17,1,10,1,47,494,90,moderate
0,0,Jamaica Plain,42.31753771,-71.10845722,House,Private room,2,1,1,1,Real Bed,12,1,0,1,15,270,91,flexible
0,1,Jamaica Plain,42.30683414,-71.11331231,Apartment,Entire home/apt,4,1,2,4,Real Bed,11,3,25,2,7,101,94,flexible
0,0,Jamaica Plain,42.30720226,-71.1195889,Apartment,Private room,2,1,1,1,Real Bed,14,1,0,1,1,0,100,moderate
1,1,Jamaica Plain,42.31961969,-71.10482911,Apartment,Entire home/apt,3,1,1,2,Real Bed,21,1,36,2,127,746,97,strict
0,1,Jamaica Plain,42.3095023,-71.11675448,Apartment,Private room,2,1,1,1,Futon,19,1,9,3,11,356,98,strict
0,1,Jamaica Plain,42.3037631,-71.11400263,Apartment,Private room,2,1,1,1,Real Bed,14,1,0,3,18,1268,95,strict
1,1,Jamaica Plain,42.31343054,-71.10571837,Apartment,Private room,2,1,1,1,Real Bed,12,1,10,1,62,1257,97,moderate
0,1,Jamaica Plain,42.30894842,-71.11416181,Apartment,Private room,4,1,1,2,Real Bed,16,2,25,1,58,481,92,moderate
0,1,Jamaica Plain,42.31551269,-71.10157723,House,Private room,2,2,1,1,Real Bed,17,0,0,1,2,71,90,moderate
0,1,Jamaica Plain,42.30932886,-71.1176428,House,Private room,3,1,1,2,Real Bed,20,2,25,3,97,887,96,flexible
0,1,Jamaica Plain,42.30918196,-71.1104931,Apartment,Entire home/apt,3,1,0,2,Real Bed,12,2,15,1,16,114,100,moderate
0,0,Jamaica Plain,42.3195109,-71.11460122,Condominium,Private room,2,1.5,1,1,Real Bed,13,1,0,1,0,0,,flexible
1,1,Jamaica Plain,42.32243105,-71.11326558,Apartment,Entire home/apt,6,1,2,3,Real Bed,13,2,20,3,23,198,97,flexible
0,0,Jamaica Plain,42.30337107,-71.11500731,Apartment,Private room,2,1,1,1,Real Bed,17,1,0,1,9,65,91,moderate
0,1,Jamaica Plain,42.31846335,-71.10792705,Apartment,Private room,2,1,1,1,Real Bed,20,1,0,2,107,801,92,moderate
0,1,Jamaica Plain,42.30983835,-71.107524,House,Private room,2,1,1,1,Real Bed,10,1,5,1,26,368,97,moderate
0,1,Jamaica Plain,42.31552926,-71.102403,Apartment,Entire home/apt,2,1,1,1,Real Bed,18,1,50,1,1,0,100,strict
0,1,Jamaica Plain,42.32186357,-71.10374748,Apartment,Private room,2,1,1,1,Real Bed,9,1,0,1,8,149,93,moderate
1,1,Jamaica Plain,42.29858047,-71.11026725,Townhouse,Private room,2,1.5,1,2,Real Bed,17,1,10,3,31,455,97,moderate
1,1,Jamaica Plain,42.3162733,-71.10215681,Apartment,Entire home/apt,4,1,1,2,Real Bed,22,3,20,1,32,147,98,moderate
0,1,Jamaica Plain,42.31614913,-71.10503627,Apartment,Private room,2,1,1,1,Futon,12,1,0,2,84,256,95,moderate
0,1,Jamaica Plain,42.31218843,-71.10566184,Apartment,Private room,2,1,1,1,Real Bed,15,1,0,1,1,0,100,moderate
